"acfrequency";"number";"r Ganho";"i Ganho"
5.76766e+08;1;1.13527;0
5.80764e+08;1;1.14497;0
5.8479e+08;1;1.15458;0
5.88844e+08;1;1.16409;0
5.92925e+08;1;1.17349;0
5.97035e+08;1;1.18278;0
6.01174e+08;1;1.19194;0
6.05341e+08;1;1.20097;0
6.09537e+08;1;1.20984;0
6.13762e+08;1;1.21855;0
6.18016e+08;1;1.22709;0
6.223e+08;1;1.23543;0
6.26614e+08;1;1.24358;0
6.30957e+08;1;1.25151;0
6.35331e+08;1;1.25921;0
6.39735e+08;1;1.26667;0
6.44169e+08;1;1.27386;0
6.48634e+08;1;1.28077;0
6.53131e+08;1;1.28739;0
6.57658e+08;1;1.2937;0
6.62217e+08;1;1.29967;0
6.66807e+08;1;1.30529;0
6.71429e+08;1;1.31055;0
6.76083e+08;1;1.31541;0
6.80769e+08;1;1.31986;0
6.85488e+08;1;1.32388;0
6.9024e+08;1;1.32744;0
6.95024e+08;1;1.33053;0
6.99842e+08;1;1.33311;0
7.04693e+08;1;1.33516;0
7.09578e+08;1;1.33667;0
7.14496e+08;1;1.33759;0
7.19449e+08;1;1.33791;0
7.24436e+08;1;1.33759;0
7.29458e+08;1;1.33662;0
7.34514e+08;1;1.33496;0
7.39605e+08;1;1.33258;0
7.44732e+08;1;1.32945;0
7.49894e+08;1;1.32554;0
7.55092e+08;1;1.32082;0
7.60326e+08;1;1.31526;0
7.65597e+08;1;1.30882;0
7.70903e+08;1;1.30148;0
7.76247e+08;1;1.29319;0
7.81628e+08;1;1.28393;0
7.87046e+08;1;1.27366;0
7.92501e+08;1;1.26235;0
7.97995e+08;1;1.24995;0
8.03526e+08;1;1.23644;0
8.09096e+08;1;1.22178;0
8.14704e+08;1;1.20593;0
8.20352e+08;1;1.18886;0
8.26038e+08;1;1.17052;0
8.31764e+08;1;1.1509;0
8.37529e+08;1;1.12994;0
8.43335e+08;1;1.10762;0
8.4918e+08;1;1.08389;0
8.55067e+08;1;1.05873;0
8.60994e+08;1;1.03209;0
8.66962e+08;1;1.00395;0
8.72971e+08;1;0.974268;0
8.79023e+08;1;0.943014;0
8.85116e+08;1;0.910155;0
8.91251e+08;1;0.87566;0
8.97429e+08;1;0.839498;0
9.03649e+08;1;0.801641;0
9.09913e+08;1;0.76206;0
9.1622e+08;1;0.720729;0
9.22571e+08;1;0.677623;0
9.28966e+08;1;0.632716;0
9.35406e+08;1;0.585986;0
9.4189e+08;1;0.537413;0
9.48418e+08;1;0.486977;0
9.54993e+08;1;0.43466;0
9.61612e+08;1;0.380447;0
9.68278e+08;1;0.324322;0
9.7499e+08;1;0.266275;0
9.81748e+08;1;0.206294;0
9.88553e+08;1;0.144372;0
9.95405e+08;1;0.0805009;0
1.00231e+09;1;0.0146774;0
1.00925e+09;1;-0.0531012;0
1.01625e+09;1;-0.122835;0
1.02329e+09;1;-0.194524;0
1.03039e+09;1;-0.268163;0
1.03753e+09;1;-0.343747;0
1.04472e+09;1;-0.421268;0
1.05196e+09;1;-0.500718;0
1.05925e+09;1;-0.582085;0
1.0666e+09;1;-0.665356;0
1.07399e+09;1;-0.750517;0
1.08143e+09;1;-0.83755;0
1.08893e+09;1;-0.926439;0
1.09648e+09;1;-1.01716;0
1.10408e+09;1;-1.1097;0
1.11173e+09;1;-1.20403;0
1.11944e+09;1;-1.30013;0
1.1272e+09;1;-1.39797;0
1.13501e+09;1;-1.49753;0
1.14288e+09;1;-1.59878;0
1.1508e+09;1;-1.70168;0
1.15878e+09;1;-1.80623;0
1.16681e+09;1;-1.91237;0
1.1749e+09;1;-2.02009;0
1.18304e+09;1;-2.12935;0
1.19124e+09;1;-2.24012;0
1.1995e+09;1;-2.35237;0
1.20781e+09;1;-2.46606;0
1.21619e+09;1;-2.58117;0
