"acfrequency";"number";"r Zin";"i Zin"
3.00608e+09;1;0.3711;-5.9762
3.01301e+09;1;0.3711;-5.9381
3.01995e+09;1;0.3711;-5.90004
3.02691e+09;1;0.3711;-5.862
3.03389e+09;1;0.3711;-5.82399
3.04089e+09;1;0.3711;-5.78602
3.04789e+09;1;0.3711;-5.74807
3.05492e+09;1;0.3711;-5.71016
3.06196e+09;1;0.3711;-5.67228
3.06902e+09;1;0.3711;-5.63442
3.0761e+09;1;0.3711;-5.5966
3.08319e+09;1;0.3711;-5.55881
3.0903e+09;1;0.3711;-5.52104
3.09742e+09;1;0.3711;-5.48331
3.10456e+09;1;0.3711;-5.4456
3.11172e+09;1;0.3711;-5.40792
3.11889e+09;1;0.3711;-5.37027
3.12608e+09;1;0.3711;-5.33265
3.13329e+09;1;0.3711;-5.29506
3.14051e+09;1;0.3711;-5.2575
3.14775e+09;1;0.3711;-5.21996
3.155e+09;1;0.3711;-5.18245
3.16228e+09;1;0.3711;-5.14497
3.16957e+09;1;0.3711;-5.10752
3.17687e+09;1;0.3711;-5.07009
3.1842e+09;1;0.3711;-5.03269
3.19154e+09;1;0.3711;-4.99532
3.1989e+09;1;0.3711;-4.95798
3.20627e+09;1;0.3711;-4.92066
3.21366e+09;1;0.3711;-4.88336
3.22107e+09;1;0.3711;-4.84609
3.22849e+09;1;0.3711;-4.80885
3.23594e+09;1;0.3711;-4.77163
3.2434e+09;1;0.3711;-4.73444
3.25087e+09;1;0.3711;-4.69728
3.25837e+09;1;0.3711;-4.66013
3.26588e+09;1;0.3711;-4.62302
3.27341e+09;1;0.3711;-4.58593
3.28095e+09;1;0.3711;-4.54886
3.28852e+09;1;0.3711;-4.51181
3.2961e+09;1;0.3711;-4.47479
3.3037e+09;1;0.3711;-4.4378
3.31131e+09;1;0.3711;-4.40083
3.31894e+09;1;0.3711;-4.36388
3.3266e+09;1;0.3711;-4.32695
3.33426e+09;1;0.3711;-4.29005
3.34195e+09;1;0.3711;-4.25317
3.34965e+09;1;0.3711;-4.21631
3.35738e+09;1;0.3711;-4.17947
3.36512e+09;1;0.3711;-4.14266
3.37287e+09;1;0.3711;-4.10587
3.38065e+09;1;0.3711;-4.0691
3.38844e+09;1;0.3711;-4.03235
3.39625e+09;1;0.3711;-3.99562
3.40408e+09;1;0.3711;-3.95892
3.41193e+09;1;0.3711;-3.92223
3.41979e+09;1;0.3711;-3.88557
3.42768e+09;1;0.3711;-3.84893
3.43558e+09;1;0.3711;-3.8123
3.4435e+09;1;0.3711;-3.7757
3.45144e+09;1;0.3711;-3.73912
3.45939e+09;1;0.3711;-3.70255
3.46737e+09;1;0.3711;-3.66601
3.47536e+09;1;0.3711;-3.62949
3.48337e+09;1;0.3711;-3.59298
3.4914e+09;1;0.3711;-3.5565
3.49945e+09;1;0.3711;-3.52003
3.50752e+09;1;0.3711;-3.48358
3.5156e+09;1;0.3711;-3.44715
3.52371e+09;1;0.3711;-3.41074
3.53183e+09;1;0.3711;-3.37435
3.53997e+09;1;0.3711;-3.33798
3.54813e+09;1;0.3711;-3.30162
3.55631e+09;1;0.3711;-3.26528
3.56451e+09;1;0.3711;-3.22896
3.57273e+09;1;0.3711;-3.19265
3.58096e+09;1;0.3711;-3.15636
3.58922e+09;1;0.3711;-3.12009
3.59749e+09;1;0.3711;-3.08383
3.60579e+09;1;0.3711;-3.04759
3.6141e+09;1;0.3711;-3.01137
3.62243e+09;1;0.3711;-2.97517
3.63078e+09;1;0.3711;-2.93897
3.63915e+09;1;0.3711;-2.9028
3.64754e+09;1;0.3711;-2.86664
3.65595e+09;1;0.3711;-2.83049
3.66438e+09;1;0.3711;-2.79436
3.67282e+09;1;0.3711;-2.75825
