"acfrequency";"r Ganho";"i Ganho"
5.86138e+06;1;-0.00576304
5.87489e+06;1;-0.00577633
5.88844e+06;1;-0.00578964
5.90201e+06;1;-0.00580299
5.91562e+06;1;-0.00581637
5.92925e+06;1;-0.00582978
5.94292e+06;1;-0.00584322
5.95662e+06;1;-0.00585669
5.97035e+06;1;-0.00587019
5.98412e+06;1;-0.00588372
5.99791e+06;1;-0.00589729
6.01174e+06;1;-0.00591088
6.0256e+06;1;-0.00592451
6.03949e+06;1;-0.00593817
6.05341e+06;1;-0.00595186
6.06736e+06;1;-0.00596558
6.08135e+06;1;-0.00597933
6.09537e+06;1;-0.00599312
6.10942e+06;1;-0.00600693
6.1235e+06;1;-0.00602078
6.13762e+06;1;-0.00603466
6.15177e+06;1;-0.00604858
6.16595e+06;1;-0.00606252
6.18016e+06;1;-0.0060765
6.19441e+06;1;-0.00609051
6.20869e+06;1;-0.00610455
6.223e+06;1;-0.00611862
6.23735e+06;1;-0.00613273
6.25173e+06;1;-0.00614686
6.26614e+06;1;-0.00616104
6.28058e+06;1;-0.00617524
6.29506e+06;1;-0.00618948
6.30957e+06;1;-0.00620375
6.32412e+06;1;-0.00621805
6.3387e+06;1;-0.00623238
6.35331e+06;1;-0.00624675
6.36796e+06;1;-0.00626115
6.38263e+06;1;-0.00627559
6.39735e+06;1;-0.00629005
6.4121e+06;1;-0.00630456
6.42688e+06;1;-0.00631909
6.44169e+06;1;-0.00633366
6.45654e+06;1;-0.00634826
6.47143e+06;1;-0.0063629
6.48634e+06;1;-0.00637757
6.5013e+06;1;-0.00639227
6.51628e+06;1;-0.00640701
6.53131e+06;1;-0.00642178
