frequency;r S[1,1];i S[1,1];;;;;;
5,22E+14;0.00441648;0.0267587;0.0961856;-0.29143;0.0961856;-0.29143;0.0961856;-0.29143
5,24E+14;0.00444557;0.0272941;0.0961857;-0.29144;0.0961857;-0.29144;0.0961857;-0.29144
5,26E+14;0.00447516;0.027828;0.0961858;-0.29145;0.0961858;-0.29145;0.0961858;-0.29145
5,27E+14;0.00450523;0.0283604;0.0961859;-0.29146;0.0961859;-0.29146;0.0961859;-0.29146
5,29E+14;0.00453578;0.0288912;0.0961860;-0.29147;0.0961860;-0.29147;0.0961860;-0.29147
5,31E+14;0.00456681;0.0294205;0.0961861;-0.29148;0.0961861;-0.29148;0.0961861;-0.29148
5,33E+14;0.00459832;0.0299483;0.0961862;-0.29149;0.0961862;-0.29149;0.0961862;-0.29149
5,35E+14;0.0046303;0.0304746;0.0961863;-0.29150;0.0961863;-0.29150;0.0961863;-0.29150
5,36E+14;0.00466274;0.0309994;0.0961864;-0.29151;0.0961864;-0.29151;0.0961864;-0.29151
5,38E+14;0.00469565;0.0315227;0.0961865;-0.29152;0.0961865;-0.29152;0.0961865;-0.29152
5,40E+13;0.00472902;0.0320446;0.0961866;-0.29153;0.0961866;-0.29153;0.0961866;-0.29153
5,42E+14;0.00476284;0.0325651;0.0961867;-0.29154;0.0961867;-0.29154;0.0961867;-0.29154
5,44E+14;0.00479712;0.0330841;0.0961868;-0.29155;0.0961868;-0.29155;0.0961868;-0.29155
5,45E+14;0.00483184;0.0336018;0.0961869;-0.29156;0.0961869;-0.29156;0.0961869;-0.29156
5,47E+14;0.00486701;0.034118;0.0961870;-0.29157;0.0961870;-0.29157;0.0961870;-0.29157
5,49E+14;0.00490262;0.0346329;0.0961871;-0.29158;0.0961871;-0.29158;0.0961871;-0.29158
